#    L    TT             EE             TE             PP             TP          
     2    0.10973E+04    0.51751E-01    0.34005E+01    0.10450E+07    0.30801E+05
     3    0.10252E+04    0.85298E-01    0.42487E+01    0.16104E+07    0.36625E+05
     4    0.95787E+03    0.97052E-01    0.43734E+01    0.21119E+07    0.39337E+05
     5    0.90590E+03    0.87380E-01    0.40671E+01    0.25549E+07    0.40395E+05
     6    0.86801E+03    0.65706E-01    0.35553E+01    0.29461E+07    0.40535E+05
     7    0.84163E+03    0.42609E-01    0.29811E+01    0.32932E+07    0.40171E+05
     8    0.82383E+03    0.24901E-01    0.24318E+01    0.36023E+07    0.39480E+05
     9    0.81258E+03    0.14508E-01    0.19544E+01    0.38789E+07    0.38550E+05
    10    0.80643E+03    0.99368E-02    0.15753E+01    0.41267E+07    0.37478E+05
    11    0.80393E+03    0.84894E-02    0.13044E+01    0.43503E+07    0.36394E+05
    12    0.80527E+03    0.79893E-02    0.11413E+01    0.45514E+07    0.35362E+05
    13    0.80864E+03    0.73131E-02    0.10661E+01    0.47324E+07    0.34384E+05
    14    0.81310E+03    0.64417E-02    0.10538E+01    0.48960E+07    0.33445E+05
    15    0.81897E+03    0.56742E-02    0.10862E+01    0.50439E+07    0.32517E+05
    16    0.82666E+03    0.52843E-02    0.11473E+01    0.51776E+07    0.31583E+05
    17    0.83608E+03    0.53461E-02    0.12207E+01    0.52985E+07    0.30671E+05
    18    0.84625E+03    0.56750E-02    0.12930E+01    0.54081E+07    0.29812E+05
    19    0.85801E+03    0.60993E-02    0.13578E+01    0.55071E+07    0.28991E+05
    20    0.86968E+03    0.65392E-02    0.14094E+01    0.55960E+07    0.28191E+05
    21    0.88161E+03    0.70021E-02    0.14522E+01    0.56760E+07    0.27408E+05
    22    0.89410E+03    0.76005E-02    0.14911E+01    0.57481E+07    0.26645E+05
    23    0.90695E+03    0.84202E-02    0.15274E+01    0.58129E+07    0.25909E+05
    24    0.92021E+03    0.94944E-02    0.15619E+01    0.58707E+07    0.25207E+05
    25    0.93382E+03    0.10843E-01    0.15977E+01    0.59222E+07    0.24536E+05
    26    0.94759E+03    0.12436E-01    0.16390E+01    0.59679E+07    0.23893E+05
    27    0.96176E+03    0.14229E-01    0.16832E+01    0.60084E+07    0.23275E+05
    28    0.97617E+03    0.16205E-01    0.17279E+01    0.60440E+07    0.22681E+05
    29    0.99090E+03    0.18369E-01    0.17719E+01    0.60748E+07    0.22115E+05
    30    0.10059E+04    0.20733E-01    0.18126E+01    0.61010E+07    0.21581E+05
    31    0.10209E+04    0.23284E-01    0.18466E+01    0.61229E+07    0.21071E+05
    32    0.10363E+04    0.25994E-01    0.18708E+01    0.61413E+07    0.20575E+05
    33    0.10520E+04    0.28877E-01    0.18833E+01    0.61564E+07    0.20091E+05
    34    0.10679E+04    0.31960E-01    0.18840E+01    0.61682E+07    0.19617E+05
    35    0.10839E+04    0.35244E-01    0.18754E+01    0.61771E+07    0.19156E+05
    36    0.11000E+04    0.38737E-01    0.18585E+01    0.61831E+07    0.18711E+05
    37    0.11163E+04    0.42450E-01    0.18295E+01    0.61867E+07    0.18287E+05
    38    0.11329E+04    0.46401E-01    0.17862E+01    0.61878E+07    0.17888E+05
    39    0.11498E+04    0.50598E-01    0.17317E+01    0.61866E+07    0.17509E+05
    40    0.11669E+04    0.55052E-01    0.16698E+01    0.61833E+07    0.17142E+05
    41    0.11842E+04    0.59779E-01    0.16033E+01    0.61780E+07    0.16782E+05
    42    0.12015E+04    0.64782E-01    0.15301E+01    0.61708E+07    0.16428E+05
    43    0.12189E+04    0.70062E-01    0.14473E+01    0.61617E+07    0.16084E+05
